Rk,Team,Date,SoT,Cmp,Blocks,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Gls,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Long_Cmp,Att,Cmp%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Match Report
91,Liverpool,2025-12-20,4,42,14,@,Tottenham,eng Premier League,W 2-1,2,1,+1,65,2,0,0,0,2,8,0.25,0.50,4,50.0,15.1,0,575,674,85.3,7,57,10,0,62,9299,2770,292,316,92.4,223,252,88.5,42,64,65.6,4,4,1,1,2,1,5,20.0,4,14,6,8,7,11,23,1,Match Report
92,Wolves,2025-12-20,1,31,8,,Brentford,eng Premier League,L 0-2,0,2,-2,44,0,0,1,1,0,8,0.00,0.00,1,12.5,20.8,1,305,407,74.9,5,27,6,4,35,5288,2161,141,163,86.5,121,153,79.1,31,66,47.0,16,9,7,5,4,9,13,69.2,4,8,0,8,9,25,37,1,Match Report
93,Sunderland,2025-12-20,6,31,11,@,Brighton,eng Premier League,D 0-0,0,0,0,43,0,0,0,0,0,14,0.00,0.00,6,42.9,15.3,0,276,373,74.0,9,22,10,3,30,5154,2022,114,140,81.4,125,149,83.9,31,68,45.6,25,15,17,6,2,18,31,58.1,13,11,5,6,9,34,24,0,Match Report
94,Burnley,2025-12-20,1,35,16,@,Bournemouth,eng Premier League,D 1-1,1,1,0,35,1,0,0,0,1,4,0.25,1.00,1,25.0,19.6,0,189,299,63.2,2,19,3,1,17,3884,2092,88,111,79.3,61,91,67.0,35,79,44.3,15,10,8,6,1,6,12,50.0,6,16,3,13,10,25,36,2,Match Report
95,Newcastle Utd,2025-12-20,5,33,10,,Chelsea,eng Premier League,D 2-2,2,2,0,47,2,0,0,0,2,11,0.18,0.40,5,45.5,16.7,1,308,415,74.2,8,25,16,6,38,5553,2332,143,177,80.8,130,157,82.8,33,64,51.6,13,8,7,6,0,6,15,40.0,9,10,4,6,14,27,21,0,Match Report
96,Manchester City,2025-12-20,8,40,6,,West Ham,eng Premier League,W 3-0,3,0,+3,66,3,0,0,0,3,17,0.18,0.38,8,47.1,13.6,0,713,788,90.5,12,39,16,2,61,10416,3084,423,449,94.2,223,245,91.0,40,53,75.5,12,7,3,6,3,7,14,50.0,7,6,0,6,9,21,9,1,Match Report
97,Brentford,2025-12-20,6,43,9,@,Wolves,eng Premier League,W 2-0,2,0,+2,56,2,0,0,0,2,7,0.29,0.33,6,85.7,11.9,0,424,528,80.3,5,24,16,4,47,7421,2481,197,218,90.4,177,205,86.3,43,81,53.1,12,6,1,8,3,6,13,46.2,7,9,6,3,16,28,35,2,Match Report
98,Chelsea,2025-12-20,4,22,4,@,Newcastle Utd,eng Premier League,D 2-2,2,2,0,53,2,0,0,0,2,13,0.15,0.50,4,30.8,18.0,1,369,465,79.4,11,28,6,0,34,6060,2143,189,198,95.5,151,177,85.3,22,65,33.8,11,9,4,5,2,1,6,16.7,5,4,0,4,13,24,27,0,Match Report
99,Brighton,2025-12-20,4,32,11,,Sunderland,eng Premier League,D 0-0,0,0,0,57,0,0,0,0,0,16,0.00,0.00,4,25.0,18.7,1,397,489,81.2,14,32,10,7,38,6933,2405,173,198,87.4,180,206,87.4,32,58,55.2,12,8,8,3,1,6,8,75.0,2,11,4,7,7,19,30,1,Match Report
100,Everton,2025-12-20,1,27,12,,Arsenal,eng Premier League,L 0-1,0,1,-1,35,0,0,0,0,0,5,0.00,0.00,1,20.0,15.2,0,270,377,71.6,3,17,1,1,21,4771,1671,119,140,85.0,115,142,81.0,27,75,36.0,26,13,15,8,3,12,21,57.1,9,12,3,9,8,34,23,0,Match Report
101,Manchester Utd,2025-12-15,9,30,7,,Bournemouth,eng Premier League,D 4-4,4,4,0,56,4,0,0,0,4,25,0.16,0.44,9,36.0,16.1,1,338,437,77.3,18,33,19,3,49,5769,2196,156,178,87.6,145,172,84.3,30,66,45.5,16,8,6,9,1,9,18,50.0,9,7,0,7,3,19,47,0,Match Report
102,Bournemouth,2025-12-15,9,24,16,@,Manchester Utd,eng Premier League,D 4-4,4,4,0,44,4,0,0,0,4,14,0.29,0.44,9,64.3,18.2,1,223,342,65.2,10,28,10,2,31,4028,1802,110,138,79.7,85,114,74.6,24,69,34.8,14,8,9,5,0,10,17,58.8,7,16,10,6,8,22,29,2,Match Report
103,Tottenham,2025-12-14,1,31,11,@,Nott'ham Forest,eng Premier League,L 0-3,0,3,-3,52,0,0,0,0,0,6,0.00,0.00,1,16.7,13.5,0,360,467,77.1,5,26,4,1,29,6352,1936,154,179,86.0,167,191,87.4,31,63,49.2,30,20,16,11,3,11,17,64.7,6,11,2,9,11,41,17,1,Match Report
104,Crystal Palace,2025-12-14,4,34,12,,Manchester City,eng Premier League,L 0-3,0,3,-3,40,0,0,0,0,0,16,0.00,0.00,4,25.0,16.7,0,305,415,73.5,6,18,5,2,23,5434,1948,134,158,84.8,130,165,78.8,34,68,50.0,23,17,11,6,6,9,23,39.1,14,12,0,12,6,29,20,0,Match Report
105,Leeds United,2025-12-14,4,25,3,@,Brentford,eng Premier League,D 1-1,1,1,0,43,1,0,0,0,1,18,0.06,0.25,4,22.2,17.4,0,289,412,70.1,12,18,13,4,34,4843,1813,141,167,84.4,112,151,74.2,25,72,34.7,15,8,3,8,4,11,15,73.3,4,3,1,2,7,22,44,0,Match Report
106,West Ham,2025-12-14,3,27,4,,Aston Villa,eng Premier League,L 2-3,2,3,-1,42,2,0,0,0,2,10,0.20,0.67,3,30.0,17.9,0,345,421,81.9,6,29,1,0,34,5981,1946,159,173,91.9,148,163,90.8,27,59,45.8,17,10,10,7,0,7,17,41.2,10,4,1,3,9,26,16,1,Match Report
107,Aston Villa,2025-12-14,4,40,7,@,West Ham,eng Premier League,W 3-2,3,2,+1,58,2,0,0,0,2,7,0.29,0.50,4,57.1,19.6,0,517,593,87.2,7,30,8,2,39,7761,2632,261,284,91.9,174,191,91.1,40,62,64.5,22,17,10,9,3,12,18,66.7,6,7,2,5,6,28,14,2,Match Report
108,Sunderland,2025-12-14,1,35,4,,Newcastle Utd,eng Premier League,W 1-0,1,0,+1,47,0,0,0,0,0,5,0.00,0.00,1,20.0,16.1,0,321,435,73.8,4,31,5,1,37,5840,1880,128,144,88.9,147,181,81.2,35,83,42.2,10,7,5,5,0,7,15,46.7,8,4,3,1,11,21,30,0,Match Report
109,Newcastle Utd,2025-12-14,2,55,9,@,Sunderland,eng Premier League,L 0-1,0,1,-1,53,0,0,0,0,0,6,0.00,0.00,2,33.3,20.7,0,406,499,81.4,5,33,3,1,35,7442,2280,177,195,90.8,166,197,84.3,55,95,57.9,8,5,2,5,1,2,9,22.2,7,9,2,7,3,11,54,0,Match Report
110,Manchester City,2025-12-14,5,29,16,@,Crystal Palace,eng Premier League,W 3-0,3,0,+3,60,2,1,1,0,3,6,0.33,0.40,5,83.3,19.1,1,532,626,85.0,5,39,2,1,30,7974,2259,299,332,90.1,191,216,88.4,29,51,56.9,14,6,7,6,1,3,7,42.9,4,16,6,10,8,22,37,2,Match Report
111,Brentford,2025-12-14,2,49,9,,Leeds United,eng Premier League,D 1-1,1,1,0,57,1,0,0,0,1,7,0.14,0.50,2,28.6,16.2,0,423,544,77.8,4,30,6,1,38,8052,2434,162,186,87.1,208,242,86.0,49,104,47.1,12,9,3,6,3,5,13,38.5,8,9,7,2,8,20,43,0,Match Report
112,Nott'ham Forest,2025-12-14,6,36,20,,Tottenham,eng Premier League,W 3-0,3,0,+3,48,3,0,0,0,3,15,0.20,0.50,6,40.0,16.1,1,340,433,78.5,10,22,5,4,29,6175,2264,153,176,86.9,142,168,84.5,36,62,58.1,17,9,6,5,6,9,21,42.9,12,20,4,16,12,29,23,0,Match Report
113,Arsenal,2025-12-13,2,23,4,,Wolves,eng Premier League,W 2-1,2,1,+1,69,0,0,0,0,0,16,0.00,0.00,2,12.5,15.3,1,529,629,84.1,12,62,18,4,69,8981,2541,234,254,92.1,270,312,86.5,23,44,52.3,5,3,3,2,0,3,7,42.9,4,4,1,3,8,13,21,0,Match Report
114,Liverpool,2025-12-13,4,35,10,,Brighton,eng Premier League,W 2-0,2,0,+2,49,2,0,0,0,2,18,0.11,0.50,4,22.2,17.5,0,458,537,85.3,16,32,6,0,26,7963,2928,226,249,90.8,187,204,91.7,35,65,53.8,22,12,11,8,3,14,21,66.7,7,10,6,4,8,30,32,0,Match Report
115,Wolves,2025-12-13,2,32,11,@,Arsenal,eng Premier League,L 1-2,1,2,-1,31,1,0,0,0,1,3,0.33,0.50,2,66.7,12.8,0,192,283,67.8,3,18,6,3,21,3823,1813,80,101,79.2,75,92,81.5,32,76,42.1,8,5,5,2,1,5,15,33.3,10,11,3,8,5,13,53,1,Match Report
116,Burnley,2025-12-13,8,34,9,,Fulham,eng Premier League,L 2-3,2,3,-1,53,2,0,0,0,2,16,0.13,0.25,8,50.0,16.0,1,468,581,80.6,10,49,10,1,47,8044,2963,222,248,89.5,206,248,83.1,34,70,48.6,13,9,3,7,3,4,8,50.0,4,9,0,9,9,22,10,2,Match Report
117,Chelsea,2025-12-13,5,30,15,,Everton,eng Premier League,W 2-0,2,0,+2,57,2,0,0,0,2,17,0.12,0.40,5,29.4,15.7,1,489,560,87.3,12,29,8,1,32,8479,2760,223,234,95.3,232,247,93.9,30,58,51.7,15,8,9,4,2,7,13,53.8,6,15,4,11,11,26,33,0,Match Report
118,Brighton,2025-12-13,1,39,11,@,Liverpool,eng Premier League,L 0-2,0,2,-2,51,0,0,0,0,0,14,0.00,0.00,1,7.1,15.4,0,487,558,87.3,11,41,12,3,47,8698,3055,200,217,92.2,238,259,91.9,39,66,59.1,13,7,4,9,0,7,24,29.2,17,11,5,6,6,19,6,0,Match Report
119,Everton,2025-12-13,2,40,13,@,Chelsea,eng Premier League,L 0-2,0,2,-2,43,0,0,0,0,0,11,0.00,0.00,2,18.2,13.4,0,334,426,78.4,10,32,7,3,33,6273,2445,147,171,86.0,145,170,85.3,40,71,56.3,22,8,10,7,5,12,19,63.2,7,13,3,10,8,30,11,1,Match Report
120,Fulham,2025-12-13,4,35,9,@,Burnley,eng Premier League,W 3-2,3,2,+1,47,3,0,0,0,3,6,0.50,0.75,4,66.7,11.1,0,411,517,79.5,6,27,7,0,33,7346,2752,182,208,87.5,186,216,86.1,35,75,46.7,22,12,19,3,0,11,17,64.7,6,9,4,5,12,34,39,1,Match Report
121,Manchester Utd,2025-12-08,7,29,10,@,Wolves,eng Premier League,W 4-1,4,1,+3,63,3,1,1,0,4,26,0.12,0.43,7,26.9,16.7,1,481,582,82.6,21,30,11,1,43,7489,2795,250,275,90.9,182,207,87.9,29,60,48.3,16,9,3,10,3,5,18,27.8,13,10,2,8,7,23,31,1,Match Report
122,Wolves,2025-12-08,2,39,21,,Manchester Utd,eng Premier League,L 1-4,1,4,-3,37,1,0,0,0,1,8,0.13,0.50,2,25.0,20.7,0,234,343,68.2,7,28,8,3,19,4815,1981,89,121,73.6,104,130,80.0,39,80,48.8,26,12,9,8,9,10,20,50.0,10,21,15,6,13,39,23,1,Match Report
123,Crystal Palace,2025-12-07,5,32,12,@,Fulham,eng Premier League,W 2-1,2,1,+1,37,2,0,0,0,2,11,0.18,0.40,5,45.5,13.5,0,321,403,79.7,9,30,10,2,41,5550,2112,151,174,86.8,128,146,87.7,32,62,51.6,20,14,11,7,2,10,19,52.6,9,12,3,9,9,29,29,0,Match Report
124,West Ham,2025-12-07,5,20,18,@,Brighton,eng Premier League,D 1-1,1,1,0,32,1,0,0,0,1,14,0.07,0.20,5,35.7,15.6,0,224,308,72.7,11,17,3,0,21,3630,1642,117,133,88.0,75,87,86.2,20,63,31.7,14,7,8,3,3,7,13,53.8,6,18,9,9,13,27,43,0,Match Report
125,Brighton,2025-12-07,4,37,6,,West Ham,eng Premier League,D 1-1,1,1,0,68,1,0,0,0,1,22,0.05,0.25,4,18.2,16.9,0,546,645,84.7,16,45,14,6,63,8920,2829,268,300,89.3,232,257,90.3,37,61,60.7,12,7,5,4,3,6,19,31.6,13,6,3,3,9,21,13,3,Match Report
126,Fulham,2025-12-07,4,44,7,,Crystal Palace,eng Premier League,L 1-2,1,2,-1,63,1,0,0,0,1,12,0.08,0.25,4,33.3,16.3,0,589,689,85.5,10,49,7,3,59,10438,2806,218,244,89.3,314,337,93.2,44,74,59.5,12,7,4,5,3,10,16,62.5,6,7,5,2,8,20,27,0,Match Report
127,Arsenal,2025-12-06,8,31,17,@,Aston Villa,eng Premier League,L 1-2,1,2,-1,53,1,0,0,0,1,15,0.07,0.13,8,53.3,16.4,0,396,482,82.2,10,40,7,2,41,6882,2324,175,209,83.7,181,196,92.3,31,59,52.5,20,11,11,7,2,7,17,41.2,10,17,7,10,11,31,29,1,Match Report
128,Tottenham,2025-12-06,7,37,5,,Brentford,eng Premier League,W 2-0,2,0,+2,53,2,0,0,0,2,15,0.13,0.29,7,46.7,16.2,0,354,451,78.5,9,27,8,2,32,6272,2240,169,186,90.9,138,165,83.6,37,76,48.7,17,10,7,8,2,8,16,50.0,8,5,1,4,11,28,31,0,Match Report
129,Bournemouth,2025-12-06,5,33,7,,Chelsea,eng Premier League,D 0-0,0,0,0,40,0,0,0,0,0,13,0.00,0.00,5,38.5,17.9,0,258,371,69.5,8,22,5,0,34,4937,2104,115,137,83.9,102,125,81.6,33,84,39.3,17,12,6,8,3,12,19,63.2,7,7,1,6,14,31,24,0,Match Report
130,Leeds United,2025-12-06,4,19,19,,Liverpool,eng Premier League,D 3-3,3,3,0,45,2,1,1,0,3,11,0.18,0.50,4,36.4,18.0,0,347,447,77.6,8,28,8,3,32,6001,1933,146,164,89.0,177,202,87.6,19,60,31.7,9,6,4,4,1,5,11,45.5,6,19,4,15,10,19,18,1,Match Report
131,Liverpool,2025-12-06,7,26,7,@,Leeds United,eng Premier League,D 3-3,3,3,0,55,3,0,0,0,3,16,0.19,0.43,7,43.8,15.9,1,437,539,81.1,13,27,9,3,37,7002,2274,224,242,92.6,175,197,88.8,26,66,39.4,17,9,7,8,2,7,12,58.3,5,7,2,5,5,22,31,0,Match Report
132,Aston Villa,2025-12-06,6,39,5,,Arsenal,eng Premier League,W 2-1,2,1,+1,47,2,0,0,0,2,15,0.13,0.33,6,40.0,12.7,0,340,432,78.7,9,38,12,1,40,6017,2481,164,185,88.6,122,147,83.0,39,69,56.5,15,10,8,4,3,7,13,53.8,6,5,2,3,6,21,25,5,Match Report
133,Sunderland,2025-12-06,1,32,12,@,Manchester City,eng Premier League,L 0-3,0,3,-3,36,0,0,0,0,0,8,0.00,0.00,1,12.5,17.9,0,294,380,77.4,5,15,1,0,20,5584,1958,102,121,84.3,149,165,90.3,32,67,47.8,20,13,11,6,3,11,22,50.0,11,12,5,7,8,28,29,0,Match Report
134,Burnley,2025-12-06,2,25,8,@,Newcastle Utd,eng Premier League,L 1-2,1,2,-1,31,0,1,1,0,1,8,0.00,0.00,2,25.0,19.1,0,208,298,69.8,8,15,3,1,14,3718,1599,101,116,87.1,72,83,86.7,25,76,32.9,15,8,11,3,1,8,17,47.1,9,8,3,5,7,22,27,1,Match Report
135,Newcastle Utd,2025-12-06,6,43,8,,Burnley,eng Premier League,W 2-1,2,1,+1,69,1,1,1,0,2,16,0.06,0.17,6,37.5,22.9,2,574,659,87.1,10,60,11,0,63,10233,3329,240,254,94.5,285,315,90.5,43,72,59.7,19,15,9,8,2,6,10,60.0,4,8,2,6,1,20,27,1,Match Report
136,Manchester City,2025-12-06,5,32,9,,Sunderland,eng Premier League,W 3-0,3,0,+3,64,3,0,0,0,3,18,0.17,0.60,5,27.8,15.1,0,589,668,88.2,16,42,11,2,58,8633,2338,326,343,95.0,200,225,88.9,32,57,56.1,8,8,2,3,3,6,9,66.7,3,9,3,6,4,12,23,1,Match Report
137,Brentford,2025-12-06,1,33,8,@,Tottenham,eng Premier League,L 0-2,0,2,-2,47,0,0,0,0,0,4,0.00,0.00,1,25.0,16.8,0,300,394,76.1,3,25,7,1,26,5602,1916,117,142,82.4,147,172,85.5,33,68,48.5,24,16,11,12,1,11,19,57.9,8,8,3,5,7,31,32,3,Match Report
138,Chelsea,2025-12-06,4,27,11,@,Bournemouth,eng Premier League,D 0-0,0,0,0,60,0,0,0,0,0,11,0.00,0.00,4,36.4,17.8,0,456,557,81.9,9,42,8,4,45,7806,3076,211,236,89.4,214,244,87.7,27,60,45.0,17,9,10,6,1,10,17,58.8,7,11,2,9,10,27,25,0,Match Report
139,Everton,2025-12-06,5,27,13,,Nott'ham Forest,eng Premier League,W 3-0,3,0,+3,42,2,0,0,0,2,11,0.18,0.40,5,45.5,17.6,1,256,351,72.9,8,18,8,3,32,4358,1524,129,141,91.5,95,127,74.8,27,64,42.2,15,11,4,10,1,3,11,27.3,8,13,3,10,11,26,44,2,Match Report
140,Nott'ham Forest,2025-12-06,2,26,10,@,Everton,eng Premier League,L 0-3,0,3,-3,58,0,0,0,0,0,7,0.00,0.00,2,28.6,13.4,1,388,494,78.5,4,22,4,2,32,6642,1907,167,183,91.3,185,217,85.3,26,65,40.0,24,15,11,6,7,11,14,78.6,3,10,4,6,6,30,38,3,Match Report
141,Manchester Utd,2025-12-04,3,34,15,,West Ham,eng Premier League,D 1-1,1,1,0,65,1,0,0,0,1,17,0.06,0.33,3,17.6,16.4,0,476,612,77.8,10,50,7,2,55,7872,2944,248,284,87.3,188,232,81.0,34,63,54.0,19,14,8,6,5,7,18,38.9,11,15,6,9,5,24,18,0,Match Report
142,West Ham,2025-12-04,2,38,21,@,Manchester Utd,eng Premier League,D 1-1,1,1,0,35,1,0,0,0,1,11,0.09,0.50,2,18.2,14.1,0,227,335,67.8,6,23,7,1,29,4444,2217,107,124,86.3,79,108,73.1,38,78,48.7,15,8,5,7,3,5,14,35.7,9,21,9,12,20,35,39,2,Match Report
143,Arsenal,2025-12-03,7,39,7,,Brentford,eng Premier League,W 2-0,2,0,+2,62,2,0,0,0,2,15,0.13,0.29,7,46.7,16.0,0,478,580,82.4,13,42,5,1,44,8082,2566,229,259,88.4,198,221,89.6,39,75,52.0,26,14,6,12,8,13,18,72.2,5,7,3,4,6,32,24,0,Match Report
144,Crystal Palace,2025-12-03,3,30,17,@,Burnley,eng Premier League,W 1-0,1,0,+1,42,1,0,0,0,1,3,0.33,0.33,3,100.0,8.8,0,331,455,72.7,3,21,4,2,26,5810,2271,149,192,77.6,146,173,84.4,30,67,44.8,17,13,11,4,2,5,8,62.5,3,17,6,11,11,28,43,1,Match Report
145,Leeds United,2025-12-03,5,30,15,,Chelsea,eng Premier League,W 3-1,3,1,+2,29,3,0,0,0,3,17,0.18,0.60,5,29.4,16.6,0,205,302,67.9,9,19,7,4,21,4141,1813,80,95,84.2,94,120,78.3,30,73,41.1,21,15,8,10,3,7,15,46.7,8,15,5,10,9,30,34,0,Match Report
146,Liverpool,2025-12-03,4,45,11,,Sunderland,eng Premier League,D 1-1,1,1,0,67,0,0,0,0,0,23,0.00,0.00,4,17.4,18.8,0,581,695,83.6,17,60,10,3,64,9800,2972,281,310,90.6,242,269,90.0,45,86,52.3,12,9,4,6,2,6,9,66.7,3,11,2,9,6,18,26,2,Match Report
147,Aston Villa,2025-12-03,9,24,7,@,Brighton,eng Premier League,W 4-3,4,3,+1,44,4,0,0,0,4,14,0.29,0.44,9,64.3,13.3,0,318,401,79.3,12,15,6,0,23,5641,2220,138,163,84.7,153,177,86.4,24,51,47.1,23,13,13,9,1,9,22,40.9,13,7,3,4,8,31,26,1,Match Report
148,Wolves,2025-12-03,1,30,12,,Nott'ham Forest,eng Premier League,L 0-1,0,1,-1,50,0,0,0,0,0,5,0.00,0.00,1,20.0,13.7,0,351,457,76.8,5,23,6,2,30,6263,2272,154,177,87.0,154,177,87.0,30,67,44.8,19,14,10,7,2,8,12,66.7,4,12,4,8,10,29,18,1,Match Report
149,Sunderland,2025-12-03,5,29,17,@,Liverpool,eng Premier League,D 1-1,1,1,0,33,1,0,0,0,1,9,0.11,0.20,5,55.6,22.6,1,233,335,69.6,4,15,3,1,20,4711,1721,76,96,79.2,124,143,86.7,29,77,37.7,15,7,6,9,0,8,13,61.5,5,17,10,7,9,24,50,3,Match Report
150,Burnley,2025-12-03,3,38,10,,Crystal Palace,eng Premier League,L 0-1,0,1,-1,58,0,0,0,0,0,11,0.00,0.00,3,27.3,15.6,1,501,617,81.2,8,32,16,5,46,8954,2713,214,234,91.5,241,273,88.3,38,80,47.5,13,7,3,9,1,4,5,80.0,1,10,0,10,16,29,41,0,Match Report
151,Brentford,2025-12-03,1,39,11,@,Arsenal,eng Premier League,L 0-2,0,2,-2,38,0,0,0,0,0,6,0.00,0.00,1,16.7,14.3,0,267,361,74.0,4,23,4,1,24,5345,2046,105,126,83.3,120,140,85.7,39,85,45.9,19,12,11,8,0,9,16,56.3,7,11,4,7,10,29,34,1,Match Report
152,Chelsea,2025-12-03,2,29,8,@,Leeds United,eng Premier League,L 1-3,1,3,-2,71,1,0,0,0,1,14,0.07,0.50,2,14.3,15.1,0,637,730,87.3,11,50,9,3,51,10747,3247,280,304,92.1,326,351,92.9,29,55,52.7,16,11,8,6,2,8,12,66.7,4,8,2,6,3,19,36,2,Match Report
153,Brighton,2025-12-03,6,28,10,,Aston Villa,eng Premier League,L 3-4,3,4,-1,56,2,0,0,0,2,16,0.13,0.33,6,37.5,14.8,1,422,511,82.6,9,29,6,2,40,6667,2284,216,232,93.1,154,175,88.0,28,59,47.5,23,13,4,12,7,8,21,38.1,13,10,2,8,9,32,18,0,Match Report
154,Nott'ham Forest,2025-12-03,3,40,14,@,Wolves,eng Premier League,W 1-0,1,0,+1,50,1,0,0,0,1,10,0.10,0.33,3,30.0,15.6,1,367,466,78.8,8,26,11,6,32,6478,2315,172,194,88.7,145,170,85.3,40,77,51.9,17,7,3,8,6,5,13,38.5,8,14,2,12,5,22,18,0,Match Report
155,Tottenham,2025-12-02,2,20,13,@,Newcastle Utd,eng Premier League,D 2-2,2,2,0,47,2,0,0,0,2,8,0.25,1.00,2,25.0,13.6,0,338,440,76.8,6,23,10,6,30,5935,2006,157,173,90.8,158,185,85.4,20,62,32.3,17,13,10,3,4,5,14,35.7,9,13,8,5,8,25,37,3,Match Report
156,Bournemouth,2025-12-02,2,31,15,,Everton,eng Premier League,L 0-1,0,1,-1,54,0,0,0,0,0,5,0.00,0.00,2,40.0,13.3,0,427,518,82.4,3,35,7,2,45,7701,2388,167,188,88.8,224,247,90.7,31,65,47.7,15,10,11,4,0,9,11,81.8,2,15,4,11,3,18,54,1,Match Report
157,Newcastle Utd,2025-12-02,5,29,17,,Tottenham,eng Premier League,D 2-2,2,2,0,53,1,1,1,0,2,18,0.06,0.20,5,27.8,16.3,0,403,500,80.6,12,30,14,7,45,6897,2226,178,195,91.3,185,209,88.5,29,69,42.0,18,13,1,14,3,10,20,50.0,10,17,5,12,9,27,28,0,Match Report
158,Manchester City,2025-12-02,4,34,13,@,Fulham,eng Premier League,W 5-4,5,4,+1,43,4,0,0,0,4,11,0.36,1.00,4,36.4,13.4,0,412,495,83.2,8,25,10,2,27,6892,2242,218,238,91.6,153,179,85.5,34,56,60.7,16,7,9,5,2,4,12,33.3,8,13,4,9,16,32,27,0,Match Report
159,Everton,2025-12-02,3,24,8,@,Bournemouth,eng Premier League,W 1-0,1,0,+1,46,1,0,0,0,1,13,0.08,0.33,3,23.1,15.7,0,303,434,69.8,10,28,7,2,31,5450,2220,130,159,81.8,147,186,79.0,24,66,36.4,18,11,10,3,5,7,15,46.7,8,8,2,6,4,22,24,1,Match Report
160,Fulham,2025-12-02,5,43,14,,Manchester City,eng Premier League,L 4-5,4,5,-1,57,4,0,0,0,4,12,0.33,0.80,5,41.7,15.8,0,562,658,85.4,7,32,7,2,45,9366,2936,277,299,92.6,234,260,90.0,43,67,64.2,18,11,8,8,2,10,18,55.6,8,14,4,10,11,29,18,1,Match Report
161,Arsenal,2025-11-30,4,20,4,@,Chelsea,eng Premier League,D 1-1,1,1,0,61,1,0,0,0,1,8,0.13,0.25,4,50.0,13.5,0,413,502,82.3,8,42,9,1,45,6997,2184,182,198,91.9,207,235,88.1,20,52,38.5,15,9,10,3,2,11,16,68.8,5,4,2,2,10,25,18,0,Match Report
162,Manchester Utd,2025-11-30,6,38,10,@,Crystal Palace,eng Premier League,W 2-1,2,1,+1,56,2,0,0,0,2,14,0.14,0.33,6,42.9,17.2,0,371,485,76.5,9,35,1,0,35,7213,2786,117,154,76.0,212,253,83.8,38,71,53.5,16,6,7,6,3,6,8,75.0,2,10,5,5,10,26,32,1,Match Report
163,Crystal Palace,2025-11-30,2,27,5,,Manchester Utd,eng Premier League,L 1-2,1,2,-1,44,0,1,1,0,1,13,0.00,0.00,2,15.4,17.9,1,265,378,70.1,8,29,2,1,18,4637,1819,125,149,83.9,106,131,80.9,27,75,36.0,14,9,5,8,1,8,13,61.5,5,5,0,5,7,21,40,0,Match Report
164,West Ham,2025-11-30,0,28,7,,Liverpool,eng Premier League,L 0-2,0,2,-2,44,0,0,0,0,0,7,0.00,,0,0.0,20.5,0,323,426,75.8,6,24,5,2,29,5373,1805,153,172,89.0,136,166,81.9,28,65,43.1,13,9,5,5,3,7,13,53.8,6,7,0,7,9,22,22,0,Match Report
165,Liverpool,2025-11-30,5,27,11,@,West Ham,eng Premier League,W 2-0,2,0,+2,56,2,0,0,0,2,9,0.22,0.40,5,55.6,17.5,0,464,550,84.4,8,39,8,1,50,7784,2866,216,236,91.5,213,241,88.4,27,53,50.9,11,7,3,7,1,4,9,44.4,5,11,5,6,4,15,31,0,Match Report
166,Aston Villa,2025-11-30,6,24,8,,Wolves,eng Premier League,W 1-0,1,0,+1,52,1,0,0,0,1,16,0.06,0.17,6,37.5,19.1,1,418,496,84.3,13,45,5,1,43,7135,2320,166,189,87.8,211,230,91.7,24,44,54.5,16,9,4,11,1,9,16,56.3,7,8,3,5,4,20,27,0,Match Report
167,Wolves,2025-11-30,4,29,14,@,Aston Villa,eng Premier League,L 0-1,0,1,-1,48,0,0,0,0,0,9,0.00,0.00,4,44.4,14.6,0,383,455,84.2,7,29,4,2,21,6266,2201,184,196,93.9,148,170,87.1,29,55,52.7,22,11,11,9,2,9,16,56.3,7,14,4,10,6,28,32,2,Match Report
168,Chelsea,2025-11-30,4,35,4,,Arsenal,eng Premier League,D 1-1,1,1,0,39,1,0,0,0,1,11,0.09,0.25,4,36.4,16.4,0,245,316,77.5,10,13,2,1,22,4902,2115,93,106,87.7,110,120,91.7,35,78,44.9,13,6,8,5,0,7,12,58.3,5,4,1,3,6,19,31,0,Match Report
169,Brighton,2025-11-30,5,51,17,@,Nott'ham Forest,eng Premier League,W 2-0,2,0,+2,48,2,0,0,0,2,17,0.12,0.40,5,29.4,16.1,0,412,504,81.7,11,27,8,1,27,7846,2734,170,196,86.7,187,206,90.8,51,88,58.0,19,13,10,6,3,11,28,39.3,17,17,8,9,13,32,37,1,Match Report
170,Nott'ham Forest,2025-11-30,3,39,13,,Brighton,eng Premier League,L 0-2,0,2,-2,52,0,0,0,0,0,19,0.00,0.00,3,15.8,17.7,0,432,542,79.7,16,41,15,4,61,7409,2988,212,239,88.7,175,203,86.2,39,80,48.8,22,14,12,7,3,10,16,62.5,6,13,7,6,7,29,19,1,Match Report
