Rk,Team,Date,SoT,GF,Poss,Cmp,Succ,Blocks,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Gls,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Long_Cmp,Att,Cmp%,Att,Succ,Succ%,Tkld,Tkld%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Match Report
40,Chelsea,2025-08-22,7,5,58,32,4,7,@,West Ham,eng Premier League,W 5-1,5,1,+4,58,5,0,0,0,5,12,0.42,0.71,7,58.3,12.3,0,525,613,85.6,7,37,5,0,29,9073,2773,240,264,90.9,251,271,92.6,32,66,48.5,9,4,44.4,4,44.4,19,13,7,12,0,10,15,66.7,5,7,3,4,4,23,17,0,Match Report
41,Leeds United,2025-08-18,2,1,54,41,6,9,,Everton,eng Premier League,W 1-0,1,0,+1,54,0,1,1,0,1,20,0.00,0.00,2,10.0,18.1,0,427,534,80.0,12,38,6,3,44,7183,2300,218,251,86.9,151,177,85.3,41,72,56.9,21,6,28.6,9,42.9,15,7,9,2,4,12,18,66.7,6,9,3,6,9,24,28,0,Match Report
42,Everton,2025-08-18,1,0,46,37,6,17,@,Leeds United,eng Premier League,L 0-1,0,1,-1,46,0,0,0,0,0,7,0.00,0.00,1,14.3,14.5,1,349,450,77.6,3,25,4,2,28,6733,2297,129,155,83.2,183,215,85.1,37,69,53.6,24,6,25.0,12,50.0,16,12,12,3,1,9,15,60.0,6,17,10,7,2,18,32,2,Match Report
43,Arsenal,2025-08-17,3,1,39,24,9,12,@,Manchester Utd,eng Premier League,W 1-0,1,0,+1,39,1,0,0,0,1,9,0.11,0.33,3,33.3,18.6,1,239,331,72.2,5,14,5,0,24,4153,1845,115,135,85.2,97,123,78.9,24,57,42.1,28,9,32.1,16,57.1,18,10,11,6,1,4,13,30.8,9,12,8,4,4,22,29,0,Match Report
44,Manchester Utd,2025-08-17,7,0,61,57,9,9,,Arsenal,eng Premier League,L 0-1,0,1,-1,61,0,0,0,0,0,22,0.00,0.00,7,31.8,17.4,1,418,514,81.3,17,33,12,3,48,7571,2672,183,209,87.6,160,185,86.5,57,89,64.0,14,9,64.3,4,28.6,22,11,12,6,4,16,25,64.0,9,9,3,6,4,26,23,1,Match Report
45,Crystal Palace,2025-08-17,4,0,29,26,5,15,@,Chelsea,eng Premier League,D 0-0,0,0,0,29,0,0,0,0,0,11,0.00,0.00,4,36.4,27.0,0,184,257,71.6,5,12,1,0,16,3617,1736,75,90,83.3,79,97,81.4,26,56,46.4,10,5,50.0,2,20.0,16,13,11,4,1,12,24,50.0,12,15,10,5,7,23,43,1,Match Report
46,Brentford,2025-08-17,2,1,46,36,7,10,@,Nott'ham Forest,eng Premier League,L 1-3,1,3,-2,46,0,1,1,0,1,9,0.00,0.00,2,22.2,16.2,0,297,392,75.8,7,19,2,0,22,5730,2243,107,124,86.3,153,186,82.3,36,73,49.3,16,7,43.8,7,43.8,20,6,8,8,4,6,15,40.0,9,10,2,8,5,25,26,1,Match Report
47,Chelsea,2025-08-17,2,0,71,34,12,10,,Crystal Palace,eng Premier League,D 0-0,0,0,0,71,0,0,0,0,0,19,0.00,0.00,2,10.5,16.8,1,538,620,86.8,10,43,11,1,58,9207,2470,249,263,94.7,250,278,89.9,34,64,53.1,27,12,44.4,12,44.4,13,6,4,7,2,2,7,28.6,5,10,4,6,11,24,18,1,Match Report
48,Nott'ham Forest,2025-08-17,5,3,54,29,9,9,,Brentford,eng Premier League,W 3-1,3,1,+2,54,3,0,0,0,3,11,0.27,0.60,5,45.5,18.6,0,364,466,78.1,9,33,13,5,41,6517,2195,155,172,90.1,178,206,86.4,29,73,39.7,17,9,52.9,6,35.3,12,7,5,5,2,7,14,50.0,7,9,3,6,9,21,26,2,Match Report
49,Tottenham,2025-08-16,6,3,66,44,11,6,,Burnley,eng Premier League,W 3-0,3,0,+3,66,3,0,0,0,3,16,0.19,0.50,6,37.5,13.7,0,477,559,85.3,12,40,8,5,31,8717,2731,193,205,94.1,233,256,91.0,44,81,54.3,16,11,68.8,3,18.8,12,9,5,5,2,3,10,30.0,7,6,2,4,1,13,29,1,Match Report
